Geneid,A10A,A12A,A12B,CM15,CM30,CM39,CM54,CM71,CM75,CM8,M10,M102,M108,M20,M29,M46,M49,M692,M7,M8,M94
ENSG00000134809,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ENSG00000134812,3,6,3,1,0,1,2,0,0,5,5,5,0,0,1,7,0,0,0,0,5
ENSG00000134815,11,0,2,0,0,0,0,1,0,1,0,4,0,0,0,0,1,0,0,1,1
ENSG00000134817,1,3,1,0,3,6,9,5,8,0,0,11,9,5,0,0,0,0,5,3,1
ENSG00000134824,70,116,74,145,122,104,154,250,167,77,52,133,73,126,19,56,145,248,298,200,123
ENSG00000134825,14,3,18,13,424,11,76,73,5,32,3,34,9,60,19,2,5,159,4,14,20
ENSG00000134827,3,3,3,3,0,1,0,0,0,2,2,1,0,1,0,1,2,0,1,1,3
ENSG00000134830,2,0,1,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0
ENSG00000134851,117,116,86,78,109,47,76,93,67,61,61,184,28,75,17,82,114,44,76,72,202
ENSG00000134852,101,23,102,125,214,54,202,90,146,211,139,169,88,294,93,154,347,163,126,105,108
ENSG00000134853,4,4,1,3,2,1,3,3,2,0,1,5,2,4,1,1,24,4,7,8,0
ENSG00000134864,50,56,139,96,40,43,78,56,35,35,63,98,19,55,5,52,29,66,51,38,165
ENSG00000134871,11,11,12,10,6,6,9,15,11,28,183,27,38,34,19,33,64,45,37,16,6
ENSG00000134873,29,45,63,59,13,11,44,29,30,44,82,38,15,68,2,27,27,26,53,28,66
ENSG00000134874,78,85,63,641,171,32,56,406,54,87,5,130,24,147,2,128,1,66,61,99,77
ENSG00000134882,0,3,2,0,0,5,3,0,1,1,3,8,0,3,0,1,1,0,1,1,4
ENSG00000134884,4,9,13,10,7,5,8,6,6,9,16,6,7,6,4,4,7,13,7,3,15
ENSG00000134897,1,0,2,1,2,0,1,0,0,2,1,5,1,0,0,1,2,1,0,0,2
ENSG00000134899,4,2,3,2,6,3,2,5,2,3,6,9,3,7,1,1,5,6,1,0,13
ENSG00000134900,1,1,0,0,0,0,0,1,0,0,2,6,0,2,0,1,0,1,0,0,3
ENSG00000134901,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
ENSG00000134905,14,20,12,38,34,23,16,16,24,24,65,51,35,17,14,13,23,53,20,16,36
ENSG00000134909,4,12,0,0,3,0,4,0,2,2,0,13,1,2,0,2,1,4,2,0,0
ENSG00000134910,0,6,9,3,7,2,5,11,7,3,8,9,3,8,3,6,18,14,2,0,22
ENSG00000134917,9,4,4,4,12,1,3,5,3,2,1,11,2,1,0,1,1,8,8,6,8
ENSG00000134940,1,1,11,0,4,0,10,0,1,5,12,2,3,4,2,2,24,10,1,2,1
ENSG00000134954,1,0,1,0,0,0,1,1,0,1,1,5,4,0,0,0,1,2,1,2,0
ENSG00000134955,8,8,33,18,12,1,22,7,15,22,16,16,13,19,4,8,14,25,8,5,24
ENSG00000134962,102,15,23,32,15,12,22,12,22,20,31,71,14,29,19,21,37,31,17,11,100
ENSG00000134970,0,1,8,8,5,2,9,15,13,9,2,5,1,12,1,7,1,8,8,17,2
ENSG00000134982,15,47,16,5,17,4,8,8,5,2,3,16,0,4,0,3,8,9,5,2,14
ENSG00000134986,9,9,19,6,3,3,1,3,1,2,5,32,1,5,0,6,10,6,1,0,93
